Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,327,12,77556.46,2,5,5,255,Loyal Customers
12347.0,41,7,5408.5,4,4,5,445,Loyal Customers
12348.0,77,5,2019.3999999999999,3,4,4,344,Loyal Customers
12349.0,20,4,4428.6900000000005,5,3,5,535,Potential Loyalists
12350.0,312,1,334.40000000000003,2,1,2,212,Lost Customers
12351.0,377,1,300.93,2,1,2,212,Lost Customers
12352.0,74,10,2849.84,3,5,4,354,Loyal Customers
12353.0,205,2,406.76,3,2,2,322,Lost Customers
12354.0,234,1,1079.4,2,1,3,213,Lost Customers
12355.0,97,2,947.61,3,2,3,323,Lost Customers
12356.0,24,6,6373.68,5,4,5,545,Champions
12357.0,183,3,18287.66,3,3,5,335,Lost Customers
12358.0,4,4,3203.8700000000003,5,3,5,535,Potential Loyalists
12359.0,10,10,8935.94,5,5,5,555,Champions
12360.0,54,8,4252.89,4,4,5,445,Loyal Customers
12361.0,289,4,511.25,2,3,2,232,At Risk
12362.0,31,10,4827.1900000000005,4,5,5,455,Loyal Customers
12363.0,37,2,552.0,4,2,2,422,Potential Loyalists
12364.0,42,4,1313.1,4,3,4,434,Potential Loyalists
12365.0,293,2,641.38,2,2,3,223,Lost Customers
12366.0,635,1,500.24,1,1,2,112,Lost Customers
12368.0,630,1,917.7,1,1,3,113,Lost Customers
12369.0,415,3,1791.15,2,3,4,234,At Risk
12370.0,53,7,4320.31,4,4,5,445,Loyal Customers
12371.0,31,5,4067.38,4,4,5,445,Loyal Customers
12372.0,36,3,1298.04,4,3,4,434,Potential Loyalists
12373.0,343,3,1127.65,2,3,3,233,At Risk
12374.0,27,4,2989.2200000000003,4,3,5,435,Potential Loyalists
12375.0,12,2,457.5,5,2,2,522,Potential Loyalists
12376.0,391,2,503.15,2,2,2,222,Lost Customers
12377.0,317,4,3426.32,2,3,5,235,At Risk
12378.0,306,2,5416.32,2,2,5,225,Lost Customers
12379.0,83,4,1620.22,3,3,4,334,Lost Customers
12380.0,23,11,9676.300000000001,5,5,5,555,Champions
12381.0,1,4,1698.3,5,3,4,534,Potential Loyalists
12383.0,10,5,1850.56,5,4,4,544,Champions
12384.0,30,2,585.27,4,2,2,422,Potential Loyalists
12385.0,381,1,1938.4,2,1,4,214,Lost Customers
12386.0,193,2,660.8000000000001,3,2,3,323,Lost Customers
12387.0,417,1,143.94,1,1,1,111,Lost Customers
12388.0,17,8,3901.11,5,4,5,545,Champions
12389.0,569,3,1433.33,1,3,4,134,At Risk
12390.0,81,1,549.84,3,1,2,312,Lost Customers
12391.0,23,6,2773.42,5,4,4,544,Champions
12392.0,593,1,234.75000000000003,1,1,1,111,Lost Customers
12393.0,40,6,2399.45,4,4,4,444,Loyal Customers
12394.0,154,2,1272.48,3,2,4,324,Lost Customers
12395.0,6,15,5067.27,5,5,5,555,Champions
12396.0,649,1,931.4300000000001,1,1,3,113,Lost Customers
12397.0,137,2,2409.9,3,2,4,324,Lost Customers
12398.0,47,1,1635.6599999999999,4,1,4,414,Lost Customers
12399.0,3,7,1962.3,5,4,4,544,Champions
12400.0,416,1,205.25,2,1,1,211,Lost Customers
12401.0,100,1,84.3,3,1,1,311,Lost Customers
12402.0,325,6,1256.9,2,4,4,244,Loyal Customers
12403.0,51,2,1019.36,4,2,3,423,Potential Loyalists
12404.0,684,1,63.24,1,1,1,111,Lost Customers
12405.0,150,1,1710.39,3,1,4,314,Lost Customers
12406.0,23,5,6390.36,5,4,5,545,Champions
12407.0,51,5,1708.12,4,4,4,444,Loyal Customers
12408.0,153,8,4340.77,3,4,5,345,Loyal Customers
12409.0,66,7,23419.29,4,4,5,445,Loyal Customers
12410.0,253,3,1013.71,2,3,3,233,At Risk
12411.0,411,1,346.9,2,1,2,212,Lost Customers
12412.0,76,6,2596.93,3,4,4,344,Loyal Customers
12413.0,193,4,999.45,3,3,3,333,Lost Customers
12414.0,189,6,952.4100000000001,3,4,3,343,Loyal Customers
12415.0,26,28,144458.37,4,5,5,455,Loyal Customers
12416.0,658,1,202.56,1,1,1,111,Lost Customers
12417.0,41,19,6447.18,4,5,5,455,Loyal Customers
12418.0,114,4,2021.2,3,3,4,334,Lost Customers
12419.0,387,2,503.01,2,2,2,222,Lost Customers
12420.0,154,1,600.39,3,1,2,312,Lost Customers
12421.0,17,6,1098.6,5,4,3,543,Champions
12422.0,170,17,5231.8,3,5,5,355,Loyal Customers
12423.0,102,9,2413.75,3,5,4,354,Loyal Customers
12424.0,164,4,3340.0299999999997,3,3,5,335,Lost Customers
12425.0,79,2,1741.41,3,2,4,324,Lost Customers
12426.0,196,2,1345.21,3,2,4,324,Lost Customers
12427.0,23,3,1129.3,5,3,3,533,Potential Loyalists
12428.0,27,9,7956.46,4,5,5,455,Loyal Customers
12429.0,10,8,7485.91,5,4,5,545,Champions
12430.0,45,1,256.4,4,1,1,411,Lost Customers
12431.0,3,27,10857.970000000001,5,5,5,555,Champions
12432.0,44,5,5059.32,4,4,5,445,Loyal Customers
12433.0,11,8,17942.57,5,4,5,545,Champions
12434.0,86,3,1103.43,3,3,3,333,Lost Customers
12435.0,81,6,13925.93,3,4,5,345,Loyal Customers
12436.0,336,1,509.01,2,1,2,212,Lost Customers
